OrderID,OrderDate,CustomerID,ProductID,SalespersonID,Quantity,UnitPrice,Discount,Sales,Cost
O000025,2025-03-05 00:00:00,C0497,P001,S012,10,773.26,0.15,6572.71,5572.5
O000026,2025-06-13 00:00:00,C0326,P120,S006,5,226.75,0.02,1111.08,886.55
O000027,2025-07-14 00:00:00,C1139,P088,S018,4,124.23,0.0,496.92,426.16
O000028,2025-12-02 00:00:00,C0587,P025,S013,1,527.58,0.02,517.03,422.24
O000029,2025-09-18 00:00:00,C0810,P024,S013,2,516.82,0.05,981.96,734.64
O000030,2024-04-25 00:00:00,C0045,P084,S017,4,107.38,0.15,365.09,350.52
O000031,2024-06-14 00:00:00,C0332,P097,S001,1,315.65,0.1,284.08,220.74
O000032,2024-01-26 00:00:00,C0965,P056,S006,8,10.91,0.02,85.53,69.68
O000033,2024-02-28 00:00:00,C0106,P008,S004,8,670.58,0.05,5096.41,3742.16
O000034,2024-01-08 00:00:00,C0122,P060,S013,1,10.84,0.15,9.21,8.61
O000035,2024-06-06 00:00:00,C0972,P058,S007,1,12.84,0.0,12.84,9.15
O000036,2024-05-23 00:00:00,C0371,P040,S015,2,55.46,0.1,99.83,88.24
O000037,2025-08-04 00:00:00,C0329,P109,S019,2,162.13,0.1,291.83,280.7
O000038,2025-04-13 00:00:00,C0679,P042,S008,2,21.45,0.15,36.46,29.34
O000039,2025-02-15 00:00:00,C0234,P030,S007,3,425.03,0.15,1083.83,1013.61
O000040,2024-05-25 00:00:00,C0052,P082,S010,2,127.99,0.0,255.98,178.26
O000041,2025-04-15 00:00:00,C0006,P075,S010,1,9.52,0.05,9.04,7.78
O000042,2025-12-23 00:00:00,C0096,P075,S008,1,9.52,0.0,9.52,7.78
O000043,2025-07-06 00:00:00,C0191,P061,S007,2,39.86,0.0,79.72,62.14
O000044,2024-02-10 00:00:00,C0836,P039,S008,2,56.32,0.1,101.38,80.78
O000045,2024-05-28 00:00:00,C0358,P031,S010,6,58.34,0.1,315.04,263.82
O000046,2024-01-28 00:00:00,C0087,P015,S009,1,229.18,0.02,224.6,176.13
O000047,2025-05-13 00:00:00,C0018,P023,S010,4,619.05,0.1,2228.58,1607.76
O000048,2025-12-11 00:00:00,C0573,P070,S006,2,49.41,0.0,98.82,75.98
O000049,2024-04-30 00:00:00,C1009,P049,S013,4,15.78,0.02,61.86,48.32
O000050,2025-11-19 00:00:00,C0407,P089,S010,1,146.02,0.0,146.02,112.68
O000051,2025-02-08 00:00:00,C0077,P097,S005,2,315.65,0.1,568.17,441.48
O000052,2025-01-13 00:00:00,C0274,P068,S016,2,54.35,0.0,108.7,74.74
O000053,2024-04-03 00:00:00,C0600,P013,S018,4,193.38,0.0,773.52,641.12
O000054,2024-01-12 00:00:00,C0227,P001,S008,1,773.26,0.02,757.79,557.25
O000055,2024-06-26 00:00:00,C1175,P028,S011,2,520.07,0.02,1019.34,771.5
O000056,2025-01-17 00:00:00,C0917,P034,S019,2,50.6,0.05,96.14,82.76
O000057,2025-03-12 00:00:00,C0414,P009,S007,3,684.17,0.02,2011.46,1729.71
O000058,2024-03-27 00:00:00,C1142,P094,S005,1,348.32,0.0,348.32,232.89
O000059,2025-11-26 00:00:00,C0391,P045,S007,1,21.49,0.0,21.49,14.16
O000060,2024-05-12 00:00:00,C0169,P090,S009,4,114.51,0.1,412.24,338.56
O000061,2024-10-05 00:00:00,C1126,P026,S009,2,497.47,0.0,994.94,836.78
O000062,2024-10-26 00:00:00,C1152,P002,S013,1,669.52,0.02,656.13,462.29
O000063,2025-04-11 00:00:00,C0376,P017,S006,1,194.95,0.0,194.95,156.96
O000064,2025-09-24 00:00:00,C0714,P057,S011,3,14.03,0.15,35.78,29.79
O000065,2025-09-13 00:00:00,C0208,P058,S003,8,12.84,0.05,97.58,73.2
O000066,2025-10-04 00:00:00,C0770,P053,S019,4,13.81,0.0,55.24,38.88
O000067,2024-08-04 00:00:00,C0829,P116,S006,4,217.89,0.05,827.98,729.44
O000068,2025-01-05 00:00:00,C0852,P079,S007,3,7.05,0.1,19.04,18.03
O000069,not_a_date,C0683,P088,S004,2,124.23,0.05,236.04,213.08
O000070,2025-04-29 00:00:00,C0845,P015,S008,8,229.18,0.05,1741.77,1409.04
O000071,2025-05-15 00:00:00,C0667,P056,S020,1,10.91,0.0,10.91,8.71
O000072,2024-12-11 00:00:00,C0984,P075,S012,4,9.52,0.05,36.18,31.12
O000073,2024-06-13 00:00:00,C0216,P071,S014,1,7.96,0.0,7.96,6.53
O000074,2024-03-15 00:00:00,C0581,P114,S012,3,241.45,0.0,724.35,589.89
O000075,2024-12-08 00:00:00,C0500,P058,S007,10,12.84,0.15,109.14,91.5
O000076,2025-06-11 00:00:00,C0641,P045,S016,5,21.49,0.05,102.08,70.8
O000077,2025-08-10 00:00:00,C0171,P114,S007,5,241.45,0.0,1207.25,983.15
O000078,2025-10-21 00:00:00,C0389,P041,S016,5,15.18,0.05,72.1,63.5
O000079,2024-12-10 00:00:00,C1145,P069,S020,2,45.42,0.15,77.21,77.46
O000080,2025-11-01 00:00:00,C0127,P004,S001,2,619.09,0.05,1176.27,1036.74
O000081,2025-05-30 00:00:00,C0763,P020,S004,2,215.04,0.05,408.58,306.28
O000082,2025-08-09 00:00:00,C0798,P007,S016,1,780.87,0.05,741.83,546.34
O000083,2024-07-12 00:00:00,C0570,P051,S003,2,13.09,0.05,24.87,21.32
O000084,2024-05-03 00:00:00,C0041,P112,S015,1,287.93,0.1,259.14,201.6
O000085,2024-07-03 00:00:00,C0042,P009,S005,6,684.17,0.0,4105.02,3459.42
O000086,2024-05-07 00:00:00,C0331,P118,S012,4,199.53,0.1,718.31,663.44
O000087,2025-08-01 00:00:00,C0124,P105,S014,1,152.91,0.05,145.26,128.7
O000088,2025-04-28 00:00:00,C0114,P001,S007,3,773.26,0.0,2319.78,1671.75
O000089,2024-11-19 00:00:00,C0193,P002,S018,4,669.52,0.0,2678.08,1849.16
O000090,2024-06-01 00:00:00,C0229,P109,S019,5,162.13,0.1,729.58,701.75
O000091,2025-05-13 00:00:00,C1007,P071,S005,2,7.96,0.0,15.92,13.06
O000092,2024-12-11 00:00:00,C0767,P021,S015,3,543.4,0.02,1597.6,1072.71
O000093,2025-12-22 00:00:00,C0037,P115,S014,1,261.82,0.0,261.82,194.89
O000094,2024-08-24 00:00:00,C0755,P068,S006,5,54.35,0.05,258.16,186.85
O000095,2025-12-26 00:00:00,C0165,P077,S017,5,7.98,0.0,39.9,33.25
O000096,2025-01-03 00:00:00,C0506,P082,S007,1,127.99,0.02,125.43,89.13
O000097,2024-12-18 00:00:00,C0046,P025,S006,1,527.58,0.05,501.2,422.24
O000098,2025-07-13 00:00:00,C0109,P044,S015,1,16.8,0.1,15.12,12.62
O000099,2025-02-16 00:00:00,C0160,P016,S003,2,219.21,0.0,438.42,372.88
O000100,2024-01-25 00:00:00,C0521,P064,S019,1,42.46,0.02,41.61,35.34
O000101,2024-08-14 00:00:00,C0556,P119,S008,4,269.54,0.05,1024.25,853.0
O000102,2024-03-20 00:00:00,C0424,P076,S010,2,8.13,0.1,14.63,11.7
O000103,2025-03-08 00:00:00,C0745,P084,S014,2,107.38,0.05,204.02,175.26
O000104,2025-04-07 00:00:00,C0865,P024,S018,4,516.82,0.0,2067.28,1469.28
O000105,2025-09-02 00:00:00,C0875,P066,S016,4,51.43,0.02,201.61,136.2
O000106,2025-08-11 00:00:00,C0695,P120,S008,2,226.75,0.0,453.5,354.62
O000107,2024-04-27 00:00:00,C0655,P011,S015,4,238.21,0.0,952.84,658.52
O000108,2024-12-10 00:00:00,C0590,P025,S008,3,527.58,0.0,1582.74,1266.72
O000109,2024-02-20 00:00:00,C0286,P087,S011,1,166.12,0.05,157.81,107.6
O000110,2025-01-12 00:00:00,C0585,P002,S014,1,669.52,0.1,602.57,462.29
O000111,2024-11-07 00:00:00,C0013,P025,S012,4,527.58,0.1,1899.29,1688.96
O000112,2025-02-03 00:00:00,C1160,P114,S002,1,241.45,0.0,241.45,196.63
O000113,2025-01-02 00:00:00,C0445,P003,S001,1,636.79,0.0,636.79,436.23
O000114,2025-12-11 00:00:00,C0908,P052,S003,2,15.53,0.05,29.51,21.36
O000115,2024-01-21 00:00:00,C1149,P040,S002,6,55.46,0.05,316.12,264.72
O000116,2025-05-15 00:00:00,C0597,P048,S015,4,16.12,0.05,61.26,55.16
O000117,2024-09-20 00:00:00,C1035,P031,S004,4,58.34,0.1,210.02,175.88
O000118,2025-08-04 00:00:00,C0576,P034,S005,1,50.6,0.02,49.59,41.38
O000119,2024-04-14 00:00:00,C0159,P092,S007,5,263.91,0.0,1319.55,1082.05
O000120,2025-12-25 00:00:00,C0032,P004,S004,2,619.09,0.05,1176.27,1036.74
O000121,2025-12-13 00:00:00,C0163,P016,S018,10,219.21,0.05,2082.5,1864.4
O000122,2025-10-19 00:00:00,C1132,P032,S002,3,58.79,0.0,176.37,117.33
O000123,2025-03-26 00:00:00,C0571,P100,S004,3,293.58,0.0,880.74,578.4
O000124,2025-05-08 00:00:00,C0384,P048,S005,6,16.12,0.15,82.21,82.74
O000125,2025-04-12 00:00:00,C0536,P005,S002,8,631.5,0.05,4799.4,3483.36
O000126,2025-03-24 00:00:00,C0308,P063,S006,1,38.52,0.05,36.59,31.39
O000127,2024-01-08 00:00:00,C1045,P076,S004,1,8.13,0.0,8.13,5.85
O000128,2024-06-17 00:00:00,C1200,P055,S007,3,12.75,0.15,32.51,25.08
O000129,2024-02-13 00:00:00,C0102,P011,S004,1,238.21,0.05,226.3,164.63
O000130,2024-06-02 00:00:00,C0863,P106,S019,2,200.57,0.0,401.14,280.42
O000131,2024-09-05 00:00:00,C0403,P103,S016,1,220.66,0.02,216.25,167.59
O000132,2025-09-11 00:00:00,C0057,P110,S013,2,175.45,0.02,343.88,273.66
O000133,2024-04-12 00:00:00,C1107,P116,S012,3,217.89,0.0,653.67,547.08
O000134,2024-08-17 00:00:00,C0075,P039,S014,1,56.32,0.02,55.19,40.39
O000135,2024-03-07 00:00:00,C0248,P051,S019,2,13.09,0.0,26.18,21.32
O000136,2024-08-16 00:00:00,C0031,P116,S003,2,217.89,0.02,427.06,364.72
O000137,2024-08-12 00:00:00,C0566,P054,S011,10,12.38,0.05,117.61,87.9
O000138,2025-04-03 00:00:00,C0720,P104,S004,1,145.32,0.0,145.32,123.67
O000139,2025-11-23 00:00:00,C0385,P078,S010,5,8.04,0.0,40.2,31.35
O000140,2025-11-28 00:00:00,C0086,P112,S018,10,287.93,0.15,2447.41,2016.0
O000141,2025-11-13 00:00:00,C0140,P002,S013,3,669.52,0.0,2008.56,1386.87
O000142,2024-04-04 00:00:00,C1121,P085,S013,3,121.06,0.02,355.92,260.97
O000143,2025-02-23 00:00:00,C0968,P097,S002,1,315.65,0.1,284.08,220.74
O000144,2024-10-12 00:00:00,C1125,P024,S017,2,516.82,0.1,930.28,734.64
O000145,2024-12-19 00:00:00,C0637,P089,S015,1,146.02,0.05,138.72,112.68
O000146,2024-12-20 00:00:00,C0656,P024,S008,3,516.82,0.0,1550.46,1101.96
O000147,2024-09-26 00:00:00,C0944,P109,S007,8,162.13,,1297.04,1122.8
O000148,2025-03-29 00:00:00,C0740,P110,S012,1,175.45,0.02,171.94,136.83
O000149,2025-12-22 00:00:00,C0524,P001,S016,2,773.26,0.1,1391.87,1114.5
O000150,2024-10-28 00:00:00,C0351,P061,S011,4,39.86,0.02,156.25,124.28
O000151,,C0583,P046,S018,2,23.72,0.0,47.44,31.28
O000152,2024-06-20 00:00:00,C0077,P107,S005,2,223.24,0.05,424.16,322.12
O000153,2024-08-29 00:00:00,C0231,P039,S014,2,56.32,0.0,112.64,80.78
O000154,2025-05-07 00:00:00,C0885,P087,S017,3,166.12,0.05,473.44,322.8
O000155,2025-04-13 00:00:00,C1042,P015,S015,1,229.18,0.0,229.18,176.13
O000156,2024-06-20 00:00:00,C0123,P026,S007,3,497.47,0.1,1343.17,1255.17
O000157,2025-06-22 00:00:00,C0117,P119,S010,2,269.54,0.05,512.13,426.5
O000158,2024-04-09 00:00:00,C0103,P047,S010,1,23.85,0.0,23.85,15.53
O000159,2024-01-07 00:00:00,C0950,P092,S007,2,263.91,0.05,501.43,432.82
O000160,2024-05-16 00:00:00,C0374,P117,S003,2,222.64,0.1,400.75,374.2
O000161,2024-06-20 00:00:00,C0393,P116,S004,3,217.89,0.0,653.67,547.08
O000162,2025-10-30 00:00:00,C0015,P003,S013,3,636.79,0.1,1719.33,1308.69
O000163,2024-04-25 00:00:00,C1168,P028,S005,2,520.07,0.1,936.13,771.5
O000164,2025-05-28 00:00:00,C0521,P086,S016,4,165.37,0.05,628.41,466.24
O000165,2024-03-07 00:00:00,C0957,P112,S016,2,287.93,0.05,547.07,403.2
O000166,2025-07-26 00:00:00,C0850,P118,S009,2,199.53,0.05,379.11,331.72
O000167,2025-07-02 00:00:00,C0171,P087,S008,2,166.12,0.05,315.63,215.2
O000168,2024-07-26 00:00:00,C0962,P013,S020,2,193.38,0.02,379.02,320.56
O000169,2025-04-06 00:00:00,C0661,P090,S001,4,114.51,0.0,458.04,338.56
O000170,2024-12-20 00:00:00,C0726,P033,S006,4,54.32,0.05,206.42,163.56
O000171,2025-05-05 00:00:00,C0241,P098,S014,1,296.74,0.1,267.07,227.35
O000172,2025-07-26 00:00:00,C1017,P066,S018,2,51.43,0.0,102.86,68.1
O000173,2024-06-29 00:00:00,C1119,P023,,1,619.05,0.0,619.05,401.94
O000174,2024-12-24 00:00:00,C0488,P102,S015,4,235.49,0.0,941.96,668.16
O000175,2025-12-28 00:00:00,C0111,P119,S005,10,269.54,0.0,2695.4,2132.5
O000176,2024-07-20 00:00:00,C1019,P061,S019,3,39.86,0.05,113.6,93.21
O000177,2025-11-24 00:00:00,C1065,P098,S012,2,296.74,0.1,534.13,454.7
O000178,2025-03-05 00:00:00,C0608,P008,S015,1,670.58,0.0,670.58,467.77
O000179,2024-11-11 00:00:00,C0695,P033,S004,2,54.32,0.1,97.78,81.78
O000180,2025-06-04 00:00:00,C0268,P016,S010,2,219.21,0.05,416.5,372.88
O000181,2024-04-28 00:00:00,C0081,P035,S015,6,60.9,0.05,347.13,274.86
O000182,2024-09-23 00:00:00,C1133,P046,S009,2,23.72,0.0,47.44,31.28
O000183,2024-06-27 00:00:00,C0580,P052,S020,10,15.53,0.0,155.3,106.8
O000184,2024-02-12 00:00:00,C0330,P039,S017,2,56.32,0.0,112.64,80.78
O000185,2025-01-26 00:00:00,C0832,P066,S003,1,51.43,0.0,51.43,34.05
O000186,2024-09-08 00:00:00,C0032,P027,S017,3,570.34,0.05,1625.47,1169.43
O000187,2025-06-19 00:00:00,C0096,P042,S008,1,21.45,0.02,21.02,14.67
O000188,2025-07-13 00:00:00,C0292,P101,S012,1,242.55,0.05,230.42,159.67
O000189,2024-02-25 00:00:00,C0541,P068,S009,1,54.35,0.1,48.92,37.37
O000190,2025-03-17 00:00:00,C0441,P004,S015,2,619.09,0.0,1238.18,1036.74
O000191,2025-09-14 00:00:00,C0225,P040,S009,1,55.46,0.15,47.14,44.12
O000192,2024-04-11 00:00:00,C0422,P100,S010,10,293.58,0.0,2935.8,1928.0
O000193,2024-06-14 00:00:00,C0401,P022,S012,5,536.59,0.05,2548.8,2018.85
O000194,2024-11-02 00:00:00,C0630,P111,S005,4,254.32,0.1,915.55,689.8
O000195,2025-09-16 00:00:00,C0676,P036,S009,2,55.24,0.05,104.96,71.94
O000196,2025-03-25 00:00:00,C1060,P076,S001,1,8.13,0.1,7.32,5.85
O000197,2025-02-15 00:00:00,C0969,P058,S002,3,12.84,0.05,36.59,27.45
O000198,2025-05-30 00:00:00,C0351,P076,S014,1,8.13,0.0,8.13,5.85
O000199,2025-01-24 00:00:00,C1084,P096,S006,2,227.1,0.05,431.49,391.3
O000200,2025-04-23 00:00:00,C0625,P018,S014,1,282.48,0.02,276.83,197.2
O000201,2024-05-25 00:00:00,C0226,P043,S016,3,19.3,0.15,49.22,45.36
O000202,2024-09-14 00:00:00,C0409,P069,S014,3,45.42,0.15,115.82,116.19
O000203,2025-03-11 00:00:00,C0891,P032,S009,2,58.79,0.0,117.58,78.22
O000204,2025-04-20 00:00:00,C0987,P046,S012,4,23.72,0.05,90.14,62.56
O000205,2024-12-21 00:00:00,C0449,P107,S016,1,223.24,0.0,223.24,161.06
O000206,2025-03-29 00:00:00,C0190,P028,S007,1,520.07,0.1,468.06,385.75
O000207,2025-03-07 00:00:00,C0231,P023,S009,2,619.05,0.0,1238.1,803.88
O000208,2025-11-18 00:00:00,C0125,P070,S005,4,49.41,0.1,177.88,151.96
O000209,2025-11-10 00:00:00,C0839,P012,S005,1,233.04,0.0,233.04,169.08
O000210,2024-07-20 00:00:00,C0604,P001,S002,6,773.26,0.05,4407.58,3343.5
O000211,2024-05-26 00:00:00,C0542,P105,S002,1,152.91,0.02,149.85,128.7
O000212,2025-01-27 00:00:00,C0807,P034,S003,1,50.6,0.1,45.54,41.38
O000213,2025-07-19 00:00:00,C0995,P015,S016,3,229.18,0.0,687.54,528.39
O000214,2024-02-28 00:00:00,C0955,P079,S013,1,7.05,0.1,6.34,6.01
O000215,2025-03-10 00:00:00,C0165,P058,S002,2,12.84,0.05,24.4,18.3
O000216,2024-10-15 00:00:00,C0708,P055,S016,1,12.75,0.02,12.5,8.36
O000217,2025-12-21 00:00:00,C1060,P053,S016,2,13.81,0.02,27.07,19.44
O000218,2025-04-13 00:00:00,C0929,P018,S019,2,282.48,0.0,564.96,394.4
O000219,2024-07-30 00:00:00,C0396,P104,S020,1,145.32,0.05,138.05,123.67
O000220,2025-10-04 00:00:00,C0472,P001,S002,2,773.26,0.0,1546.52,1114.5
O000221,2025-10-07 00:00:00,C1069,P058,S011,4,12.84,0.05,48.79,36.6
O000222,2024-09-25 00:00:00,C0040,P033,S017,4,54.32,0.1,195.55,163.56
O000223,2024-05-31 00:00:00,C0631,P078,S005,2,8.04,0.0,16.08,12.54
O000224,2024-03-13 00:00:00,C0140,P066,S012,10,51.43,0.0,514.3,340.5
O000225,2025-05-05 00:00:00,C1074,P047,S002,1,23.85,0.2,19.08,15.53
O000226,2024-01-06 00:00:00,C0047,P065,S007,5,56.52,0.05,268.47,185.0
O000227,2025-05-06 00:00:00,C0029,P028,S020,10,520.07,0.05,4940.67,3857.5
O000228,2024-01-12 00:00:00,C0395,P016,S015,3,219.21,0.05,624.75,559.32
O000229,2024-12-04 00:00:00,C0241,P109,S006,1,162.13,0.0,162.13,140.35
O000230,2025-11-27 00:00:00,C0595,P074,S020,6,10.76,0.1,58.1,45.0
O000231,2024-10-24 00:00:00,C0360,P079,S005,2,7.05,0.05,13.4,12.02
O000232,2024-09-04 00:00:00,C0428,P120,S008,1,226.75,0.0,226.75,177.31
O000233,2025-12-06 00:00:00,C0678,P109,S009,6,162.13,0.05,924.14,842.1
O000234,2024-12-28 00:00:00,C0673,P071,S013,2,7.96,0.1,14.33,13.06
O000235,2025-06-17 00:00:00,C1122,P096,S006,2,227.1,0.1,408.78,391.3
O000236,2025-12-06 00:00:00,C0577,P064,S006,3,42.46,0.05,121.01,106.02
O000237,2025-07-10 00:00:00,C0678,P029,S014,6,467.41,0.0,2804.46,2316.48
O000238,2024-06-30 00:00:00,C0814,P075,S005,2,9.52,0.0,19.04,15.56
O000239,2025-07-19 00:00:00,C0210,P110,S003,6,175.45,0.1,947.43,820.98
O000240,2024-10-26 00:00:00,C0801,P106,S003,1,200.57,0.1,180.51,140.21
O000241,2024-08-01 00:00:00,C1035,P061,S007,3,39.86,0.1,107.62,93.21
O000242,2024-01-21 00:00:00,C0382,P114,S001,2,241.45,0.15,410.46,393.26
O000243,2024-05-04 00:00:00,C0215,P024,S001,2,516.82,0.02,1012.97,734.64
O000244,2024-11-03 00:00:00,C0416,P005,S015,1,631.5,0.05,599.92,435.42
O000245,2024-05-03 00:00:00,C0331,P049,S011,1,15.78,0.05,14.99,12.08
O000246,2024-05-17 00:00:00,C0703,P025,S003,1,527.58,0.0,527.58,422.24
O000247,2025-03-20 00:00:00,C1037,P115,S006,3,261.82,0.05,746.19,584.67
O000248,2025-05-04 00:00:00,C0716,P014,S014,1,235.55,0.2,188.44,157.68
O000249,2024-11-25 00:00:00,C0151,P065,S017,4,56.52,0.15,192.17,148.0
O000250,2025-03-30 00:00:00,C0378,P093,S018,5,219.94,0.05,1044.71,930.2
O000251,2024-08-29 00:00:00,C0828,P014,S005,3,235.55,0.0,706.65,473.04
O000252,2024-04-07 00:00:00,C0397,P006,S017,4,707.84,0.1,2548.22,1880.4
O000253,2024-04-29 00:00:00,C0704,P067,S009,3,35.44,0.1,95.69,91.08
O000254,2025-07-27 00:00:00,C0833,P109,S006,8,162.13,0.05,1232.19,1122.8
O000255,2024-06-25 00:00:00,C0396,P002,S012,4,669.52,0.02,2624.52,1849.16
O000256,2024-11-10 00:00:00,C0777,P003,S003,2,636.79,0.0,1273.58,872.46
O000257,2024-08-11 00:00:00,C0478,P112,S010,4,287.93,0.0,1151.72,806.4
O000258,2025-07-23 00:00:00,C0163,P073,S009,3,10.84,0.0,32.52,23.13
O000259,2025-04-11 00:00:00,C0447,P085,S012,4,121.06,0.02,474.56,347.96
O000260,2024-03-03 00:00:00,C0530,P034,S004,2,50.6,0.0,101.2,82.76
O000261,2025-04-08 00:00:00,C0003,P038,S002,2,72.16,0.05,137.1,95.4
O000262,2025-06-02 00:00:00,C1072,P057,S008,6,14.03,0.0,84.18,59.58
O000263,2025-06-03 00:00:00,C0634,P026,S020,10,497.47,0.1,4477.23,4183.9
O000264,2025-03-21 00:00:00,C0044,P054,S012,2,12.38,0.0,24.76,17.58
O000265,2025-06-29 00:00:00,C1042,P115,S011,2,261.82,0.02,513.17,389.78
O000266,2024-01-31 00:00:00,C1027,P090,S013,2,114.51,0.0,229.02,169.28
O000267,2025-06-13 00:00:00,C0015,P105,S011,4,152.91,0.05,581.06,514.8
O000268,2025-07-10 00:00:00,C0196,P060,S005,1,10.84,0.0,10.84,8.61
O000269,2024-02-14 00:00:00,C0437,P095,S020,8,242.98,0.0,1943.84,1536.24
O000270,2025-11-14 00:00:00,C0609,P051,S005,3,13.09,0.05,37.31,31.98
O000271,2025-04-12 00:00:00,C0871,P075,S013,1,9.52,0.05,9.04,7.78
O000272,2025-09-28 00:00:00,C0510,P088,S018,1,124.23,0.0,124.23,106.54
O000273,2025-10-18 00:00:00,C0735,P099,S014,3,262.29,0.15,668.84,662.55
O000274,2024-01-21 00:00:00,C0013,P112,S019,3,287.93,0.1,777.41,604.8
O000275,2025-12-25 00:00:00,C0791,P013,S004,3,193.38,0.05,551.13,480.84
O000276,2025-05-04 00:00:00,C1099,P096,S013,2,227.1,0.15,386.07,391.3
O000277,2024-01-19 00:00:00,C0632,P086,S002,2,165.37,0.1,297.67,233.12
O000278,2024-01-22 00:00:00,C0546,P089,S012,2,146.02,0.05,277.44,225.36
O000279,2024-10-27 00:00:00,C0357,P002,S004,1,669.52,0.15,569.09,462.29
O000280,2024-07-02 00:00:00,C1146,P059,S014,1,11.75,0.05,11.16,8.28
O000281,2024-07-09 00:00:00,C0040,P116,S007,2,217.89,0.0,435.78,364.72
O000282,2025-06-26 00:00:00,C0345,P109,S003,4,162.13,0.0,648.52,561.4
O000283,2024-05-25 00:00:00,C0167,P028,S018,1,520.07,0.0,520.07,385.75
O000284,2025-11-05 00:00:00,C1040,P059,S018,3,11.75,0.02,34.54,24.84
O000285,2025-05-08 00:00:00,C0580,P104,S004,1,145.32,0.0,145.32,123.67
O000286,2025-10-17 00:00:00,C1107,P112,S005,1,287.93,0.05,273.53,201.6
O000287,2024-10-14 00:00:00,C0799,P040,S001,1,55.46,0.02,54.35,44.12
O000288,2025-04-25 00:00:00,C0669,P097,S014,2,315.65,0.02,618.67,441.48
O000289,2025-08-13 00:00:00,C0621,P101,S018,1,242.55,0.02,237.7,159.67
O000290,2024-07-14 00:00:00,C0244,P019,S005,6,203.88,0.02,1198.81,1061.88
O000291,2025-05-09 00:00:00,C0675,P004,S010,2,619.09,0.2,990.54,1036.74
O000292,2025-10-29 00:00:00,C0823,P006,S015,2,707.84,0.02,1387.37,940.2
O000293,2024-09-07 00:00:00,C1159,P018,S009,10,282.48,0.15,2401.08,1972.0
O000294,2025-01-02 00:00:00,C0659,P089,S016,1,146.02,0.1,131.42,112.68
O000295,2024-04-26 00:00:00,C1127,P047,S016,3,23.85,0.02,70.12,46.59
O000296,2025-09-11 00:00:00,C1134,P083,S015,4,148.37,0.0,593.48,416.12
O000297,2024-03-12 00:00:00,C0628,P011,S015,1,238.21,0.1,214.39,164.63
O000298,2024-10-18 00:00:00,C0528,P073,S009,1,10.84,0.0,10.84,7.71
O000299,2024-09-02 00:00:00,C0172,P090,S008,4,114.51,0.0,458.04,338.56
O000300,2024-12-14 00:00:00,C0323,P118,S013,1,199.53,0.1,179.58,165.86
O000301,2024-10-25 00:00:00,C1055,P039,S003,2,56.32,0.05,107.01,80.78
O000302,2024-09-24 00:00:00,C0166,P066,S012,2,51.43,0.0,102.86,68.1
O000303,2024-03-08 00:00:00,C0477,P058,S001,1,12.84,0.0,12.84,9.15
O000304,2025-11-02 00:00:00,C0839,P042,S015,5,21.45,0.1,96.52,73.35
O000305,2024-12-19 00:00:00,C0289,P077,S013,5,7.98,0.0,39.9,33.25
O000306,2024-09-05 00:00:00,C1169,P068,S010,5,54.35,0.1,244.58,186.85
O000307,2025-08-12 00:00:00,C0780,P100,S007,1,293.58,0.02,287.71,192.8
